Epoch	Train	Val	R3(S1)	R3(S2)	Best
  1	0.031365	0.012439	3634	2756	✓
  2	0.010748	0.008043	3110	1888	✓
  3	0.007095	0.005602	2755	1426	✓
  4	0.005045	0.004489	2488	1113	✓
  5	0.004199	0.004272	2463	1042	✓
  6	0.003955	0.004042	2473	1043	✓
  7	0.003873	0.004104	2569	1063	
  8	0.003761	0.003891	2421	 941	✓
  9	0.003728	0.003833	2421	 922	✓
 10	0.003671	0.003805	2429	 914	✓
 11	0.003596	0.003827	2476	 894	
 12	0.003550	0.003889	2573	 901	
 13	0.003519	0.003811	2409	 884	
 14	0.003506	0.003729	2501	 834	✓
 15	0.003430	0.003606	2459	 788	✓
 16	0.003490	0.003776	2453	 867	
 17	0.003455	0.003559	2456	 749	✓
 18	0.003394	0.003662	2539	 786	
 19	0.003411	0.003638	2450	 729	
 20	0.003385	0.003575	2453	 731	
 21	0.003356	0.003575	2496	 752	
 22	0.003329	0.003654	2482	 830	
 23	0.003335	0.003653	2470	 726	
 24	0.003331	0.003555	2444	 677	✓
 25	0.003313	0.003557	2417	 701	
 26	0.003281	0.003535	2485	 670	✓
 27	0.003304	0.003545	2485	 690	
 28	0.003338	0.003714	2602	 687	
 29	0.003341	0.003535	2461	 661	✓
 30	0.003321	0.003862	2617	 767	
 31	0.003349	0.003566	2422	 699	
 32	0.003334	0.003881	2682	 749	
 33	0.003312	0.003541	2491	 713	
 34	0.003345	0.003595	2522	 672	
 35	0.003305	0.003539	2471	 654	
 36	0.003287	0.003647	2463	 699	
 37	0.003276	0.003508	2428	 657	✓
 38	0.003310	0.003542	2412	 657	
 39	0.003295	0.003521	2446	 677	
 40	0.003333	0.003830	2658	 744	
 41	0.003317	0.003683	2517	 763	
 42	0.003321	0.003692	2608	 695	
 43	0.003300	0.003575	2477	 652	
 44	0.003324	0.003561	2488	 656	
 45	0.003279	0.003638	2427	 747	
 46	0.003270	0.003517	2416	 669	
 47	0.003282	0.003626	2429	 727	
 48	0.003252	0.003604	2560	 718	
 49	0.003230	0.003492	2438	 652	✓
 50	0.003226	0.003527	2443	 651	
 51	0.003244	0.003530	2425	 680	
 52	0.003238	0.003561	2450	 669	
 53	0.003228	0.003538	2496	 664	
 54	0.003240	0.003599	2492	 673	
 55	0.003274	0.003493	2470	 659	
 56	0.003211	0.003493	2427	 648	
 57	0.003241	0.003543	2419	 693	
 58	0.003238	0.003510	2434	 671	
 59	0.003198	0.003521	2472	 649	
 60	0.003229	0.003599	2540	 710	
 61	0.003215	0.003510	2444	 659	
 62	0.003193	0.003511	2448	 661	
 63	0.003193	0.003498	2419	 661	
 64	0.003203	0.003497	2432	 656	
 65	0.003195	0.003511	2428	 658	
 66	0.003205	0.003509	2444	 656	
 67	0.003212	0.003533	2500	 655	
 68	0.003206	0.003487	2452	 648	✓
 69	0.003191	0.003509	2440	 659	
 70	0.003204	0.003489	2448	 647	
 71	0.003196	0.003495	2434	 651	
 72	0.003187	0.003509	2431	 651	
 73	0.003206	0.003526	2457	 657	
 74	0.003204	0.003647	2515	 715	
 75	0.003213	0.003511	2427	 653	
 76	0.003209	0.003542	2447	 661	
 77	0.003197	0.003525	2470	 651	
 78	0.003199	0.003505	2447	 655	
 79	0.003207	0.003533	2438	 682	
 80	0.003182	0.003517	2470	 650	
 81	0.003189	0.003524	2437	 667	
 82	0.003186	0.003486	2442	 647	✓
 83	0.003181	0.003498	2466	 649	
 84	0.003189	0.003491	2452	 648	
 85	0.003189	0.003500	2463	 653	
 86	0.003177	0.003501	2427	 657	
 87	0.003185	0.003489	2447	 648	
 88	0.003185	0.003498	2452	 652	
 89	0.003188	0.003484	2430	 646	✓
 90	0.003175	0.003489	2433	 649	
 91	0.003176	0.003496	2433	 659	
 92	0.003183	0.003504	2419	 661	
 93	0.003168	0.003499	2458	 649	
 94	0.003180	0.003497	2459	 648	
 95	0.003170	0.003501	2465	 648	
 96	0.003181	0.003495	2463	 647	
 97	0.003180	0.003489	2431	 650	
 98	0.003187	0.003502	2472	 653	
 99	0.003176	0.003517	2483	 664	
100	0.003179	0.003500	2420	 661	
