Epoch	Train	Val	Best
  1	0.270095	0.212094	✓
  2	0.212608	0.193590	✓
  3	0.195162	0.184209	✓
  4	0.188092	0.181463	✓
  5	0.179511	0.178191	✓
  6	0.175479	0.168417	✓
  7	0.172454	0.170908	
  8	0.169438	0.165538	✓
  9	0.170003	0.165180	✓
 10	0.166742	0.166025	
 11	0.165351	0.168167	
 12	0.163935	0.161888	✓
 13	0.165300	0.161031	✓
 14	0.161552	0.162992	
 15	0.161322	0.159258	✓
 16	0.159458	0.161370	
 17	0.160408	0.159400	
 18	0.158207	0.160683	
 19	0.159156	0.158305	✓
 20	0.157376	0.158948	
 21	0.158001	0.158016	✓
 22	0.156765	0.159498	
 23	0.158784	0.164150	
 24	0.155506	0.157525	✓
 25	0.156745	0.157488	✓
 26	0.153467	0.158789	
 27	0.156079	0.157722	
 28	0.153562	0.155479	✓
 29	0.152491	0.155704	
 30	0.155898	0.155584	
 31	0.152835	0.155492	
 32	0.152435	0.155821	
 33	0.153916	0.154143	✓
 34	0.152562	0.158232	
 35	0.153522	0.155970	
 36	0.153053	0.154289	
 37	0.152821	0.154405	
 38	0.150624	0.156494	
 39	0.152583	0.154141	✓
 40	0.152003	0.154778	
 41	0.150655	0.153115	✓
 42	0.150296	0.154211	
 43	0.150805	0.152691	✓
 44	0.149298	0.154036	
 45	0.151247	0.152174	✓
 46	0.150171	0.151789	✓
 47	0.150554	0.152952	
 48	0.148710	0.153804	
 49	0.149956	0.151407	✓
 50	0.148375	0.151191	✓
 51	0.150030	0.156866	
 52	0.147016	0.154131	
 53	0.149601	0.151061	✓
 54	0.147865	0.152578	
 55	0.148510	0.152720	
 56	0.148042	0.154455	
 57	0.148502	0.150152	✓
 58	0.146586	0.150907	
 59	0.147454	0.150337	
 60	0.147304	0.149868	✓
 61	0.145564	0.151559	
 62	0.147022	0.152042	
 63	0.146910	0.149218	✓
 64	0.145726	0.151325	
 65	0.146958	0.150677	
 66	0.146254	0.151321	
 67	0.144639	0.148054	✓
 68	0.144739	0.147959	✓
 69	0.145693	0.148614	
 70	0.145479	0.149245	
 71	0.145631	0.148893	
 72	0.145283	0.150007	
 73	0.145245	0.149081	
 74	0.144748	0.147542	✓
 75	0.143013	0.149783	
 76	0.143153	0.151501	
 77	0.145117	0.147845	
 78	0.143195	0.148492	
 79	0.143180	0.148750	
 80	0.144760	0.147811	
 81	0.144128	0.148776	
 82	0.145460	0.147146	✓
 83	0.143943	0.147826	
 84	0.142917	0.147965	
 85	0.144357	0.145382	✓
 86	0.143175	0.148437	
 87	0.143636	0.147171	
 88	0.142865	0.146998	
 89	0.143093	0.145940	
 90	0.141475	0.146458	
 91	0.143300	0.149434	
 92	0.141245	0.148268	
 93	0.141990	0.147675	
 94	0.144107	0.147978	
 95	0.143199	0.147143	
 96	0.142058	0.145300	✓
 97	0.143413	0.147071	
 98	0.142616	0.147172	
 99	0.142694	0.145802	
100	0.141247	0.149690	
101	0.142299	0.147083	
102	0.141754	0.144218	✓
103	0.139791	0.146159	
104	0.141748	0.148560	
105	0.142437	0.148242	
106	0.142451	0.147452	
107	0.142251	0.146175	
108	0.141639	0.149191	
109	0.140815	0.146497	
110	0.142900	0.152277	
111	0.141152	0.144881	
112	0.143216	0.146834	
113	0.140485	0.148385	
114	0.137634	0.144376	
115	0.137571	0.145613	
116	0.137892	0.144313	
117	0.138146	0.142680	✓
118	0.136486	0.145102	
119	0.137504	0.142522	✓
120	0.137891	0.143655	
121	0.137675	0.143816	
122	0.137237	0.142682	
123	0.137315	0.144457	
124	0.135964	0.143944	
125	0.137231	0.143837	
126	0.137602	0.144597	
127	0.137710	0.144445	
128	0.137306	0.143954	
129	0.135986	0.142550	
130	0.137003	0.142593	
131	0.135108	0.142333	✓
132	0.134313	0.142158	✓
133	0.135077	0.142614	
134	0.134206	0.143303	
135	0.134811	0.143269	
136	0.134156	0.143551	
137	0.134366	0.142437	
138	0.133969	0.142856	
139	0.133649	0.142423	
140	0.134809	0.142908	
141	0.136378	0.142442	
142	0.134507	0.143077	
143	0.134503	0.142488	
144	0.133292	0.141792	✓
145	0.133899	0.142037	
146	0.134148	0.142569	
147	0.134441	0.141907	
148	0.133741	0.143279	
149	0.134348	0.142412	
150	0.133620	0.142307	
151	0.133401	0.141793	
152	0.132782	0.142986	
153	0.133771	0.141401	✓
154	0.133233	0.141572	
155	0.132558	0.142223	
156	0.132717	0.142017	
157	0.133562	0.143221	
158	0.133889	0.142048	
159	0.133154	0.141894	
160	0.134115	0.142148	
161	0.133672	0.141961	
162	0.133109	0.141848	
163	0.133711	0.141533	
164	0.133204	0.142135	
165	0.131827	0.142033	
166	0.131917	0.141649	
167	0.132329	0.141644	
168	0.132433	0.141328	✓
169	0.133068	0.141945	
170	0.132294	0.141675	
171	0.133055	0.141630	
172	0.132042	0.141417	
173	0.132062	0.141733	
174	0.132953	0.141095	✓
175	0.133944	0.142142	
176	0.132250	0.141667	
177	0.132586	0.142395	
178	0.132266	0.141531	
179	0.132874	0.141862	
180	0.132444	0.141756	
181	0.132614	0.141782	
182	0.132206	0.141412	
183	0.132326	0.141845	
184	0.131477	0.141426	
185	0.131966	0.141880	
186	0.132938	0.141548	
187	0.133072	0.141726	
188	0.131184	0.141652	
189	0.131307	0.141992	
190	0.130946	0.141829	
191	0.131232	0.142382	
192	0.131967	0.141897	
193	0.132070	0.142129	
194	0.132062	0.142073	
