Epoch	Train	Val	Best
  1	0.256915	0.219196	✓
  2	0.218969	0.213398	✓
  3	0.213698	0.210330	✓
  4	0.212691	0.211117	
  5	0.198137	0.190563	✓
  6	0.184579	0.171134	✓
  7	0.181888	0.177845	
  8	0.174812	0.166646	✓
  9	0.173577	0.167538	
 10	0.170477	0.165311	✓
 11	0.167833	0.167732	
 12	0.166384	0.162930	✓
 13	0.164795	0.158487	✓
 14	0.165073	0.161778	
 15	0.162783	0.160060	
 16	0.162898	0.165705	
 17	0.161997	0.159660	
 18	0.160125	0.159961	
 19	0.159398	0.158124	✓
 20	0.160531	0.160639	
 21	0.157318	0.156927	✓
 22	0.158359	0.158278	
 23	0.158359	0.159035	
 24	0.156065	0.152425	✓
 25	0.159261	0.156644	
 26	0.157470	0.156323	
 27	0.153116	0.155686	
 28	0.156502	0.157827	
 29	0.153770	0.153758	
 30	0.153574	0.154329	
 31	0.156656	0.155563	
 32	0.155003	0.157699	
 33	0.152691	0.152656	
 34	0.152293	0.153227	
 35	0.153248	0.153531	
 36	0.151701	0.151642	✓
 37	0.148237	0.149474	✓
 38	0.150152	0.149447	✓
 39	0.148057	0.149815	
 40	0.149657	0.150454	
 41	0.147077	0.152363	
 42	0.147808	0.150629	
 43	0.146448	0.149208	✓
 44	0.147798	0.149507	
 45	0.145498	0.150537	
 46	0.146760	0.148423	✓
 47	0.146883	0.149379	
 48	0.147144	0.149768	
 49	0.146403	0.149651	
 50	0.144820	0.149195	
 51	0.145714	0.147546	✓
 52	0.146615	0.149021	
 53	0.144789	0.148653	
 54	0.145203	0.147551	
 55	0.144921	0.149071	
 56	0.145134	0.145282	✓
 57	0.146207	0.149842	
 58	0.145609	0.150856	
 59	0.145137	0.147761	
 60	0.144922	0.150653	
 61	0.144295	0.145777	
 62	0.145242	0.146151	
 63	0.143683	0.147209	
 64	0.142797	0.145288	
 65	0.143033	0.146363	
 66	0.143465	0.147368	
 67	0.142558	0.147467	
 68	0.142075	0.146864	
 69	0.142382	0.145855	
 70	0.139559	0.146059	
 71	0.140889	0.146550	
 72	0.141776	0.145974	
 73	0.140240	0.146181	
 74	0.140102	0.146360	
 75	0.140583	0.145470	
 76	0.140054	0.144552	✓
 77	0.140151	0.145107	
 78	0.139367	0.144059	✓
 79	0.139648	0.144428	
 80	0.141277	0.146036	
 81	0.139189	0.143384	✓
 82	0.140601	0.146323	
 83	0.137411	0.146225	
 84	0.139669	0.145076	
 85	0.138253	0.145558	
 86	0.139940	0.144493	
 87	0.137542	0.145873	
 88	0.136913	0.144559	
 89	0.139459	0.145275	
 90	0.140326	0.143962	
 91	0.138634	0.143822	
 92	0.138602	0.144170	
 93	0.136241	0.144656	
 94	0.136233	0.144269	
 95	0.136936	0.145914	
 96	0.138359	0.143563	
 97	0.136860	0.143268	✓
 98	0.137677	0.143207	✓
 99	0.136534	0.142655	✓
100	0.137200	0.142906	
101	0.137202	0.143477	
102	0.136312	0.143527	
103	0.136457	0.143629	
104	0.136330	0.142868	
105	0.136019	0.143302	
106	0.137183	0.142733	
107	0.135666	0.143799	
108	0.136620	0.145412	
109	0.136649	0.143371	
110	0.135350	0.142736	
111	0.135532	0.142771	
112	0.135215	0.142056	✓
113	0.135623	0.142916	
114	0.135779	0.143614	
115	0.135569	0.142016	✓
116	0.133863	0.142434	
117	0.134572	0.142241	
118	0.135133	0.142322	
119	0.133823	0.141709	✓
120	0.133996	0.142006	
121	0.134946	0.142619	
122	0.135103	0.142422	
123	0.133978	0.142487	
124	0.135229	0.142597	
125	0.135360	0.142162	
126	0.135609	0.142508	
127	0.134905	0.142943	
128	0.133587	0.143038	
129	0.134291	0.143089	
130	0.134915	0.142695	
131	0.133864	0.142246	
132	0.134619	0.142012	
133	0.133540	0.142195	
134	0.133112	0.142043	
135	0.134840	0.141856	
136	0.134392	0.141810	
137	0.133744	0.141761	
138	0.133303	0.141916	
139	0.134550	0.141863	
